"District","District Code","Special Education Status","Count","%"
"Andover School District","=""0010011""","Students with Disabilities","N/A","N/A"
"Ansonia School District","=""0020011""","Students with Disabilities",58,11.7
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",13,3.7
"Barkhamsted School District","=""0050011""","Students with Disabilities","N/A","N/A"
"Berlin School District","=""0070011""","Students with Disabilities",34,8.3
"Bethany School District","=""0080011""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Students with Disabilities",56,14.5
"Bloomfield School District","=""0110011""","Students with Disabilities",63,19.0
"Bolton School District","=""0120011""","Students with Disabilities",9,9.4
"Bozrah School District","=""0130011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Students with Disabilities",61,13.1
"Bridgeport School District","=""0150011""","Students with Disabilities",771,20.9
"Bristol School District","=""0170011""","Students with Disabilities",258,16.0
"Brookfield School District","=""0180011""","Students with Disabilities",24,6.4
"Brooklyn School District","=""0190011""","Students with Disabilities",8,6.5
"Canaan School District","=""0210011""","Students with Disabilities","N/A","*"
"Canterbury School District","=""0220011""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Students with Disabilities",13,6.3
"Chaplin School District","=""0240011""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Students with Disabilities",58,10.2
"Chester School District","=""0260011""","Students with Disabilities","N/A","N/A"
"Clinton School District","=""0270011""","Students with Disabilities",18,7.9
"Colchester School District","=""0280011""","Students with Disabilities",34,8.0
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities","*","*"
"Cornwall School District","=""0310011""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Students with Disabilities",21,8.0
"Cromwell School District","=""0330011""","Students with Disabilities",33,12.8
"Danbury School District","=""0340011""","Students with Disabilities",189,12.4
"Darien School District","=""0350011""","Students with Disabilities",13,1.8
"Deep River School District","=""0360011""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Students with Disabilities",40,18.0
"Eastford School District","=""0390011""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","Students with Disabilities",10,8.1
"East Haddam School District","=""0410011""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","Students with Disabilities",23,10.6
"East Hartford School District","=""0430011""","Students with Disabilities",188,14.4
"East Haven School District","=""0440011""","Students with Disabilities",57,12.9
"East Lyme School District","=""0450011""","Students with Disabilities",29,6.9
"Easton School District","=""0460011""","Students with Disabilities","*","*"
"East Windsor School District","=""0470011""","Students with Disabilities",22,10.0
"Ellington School District","=""0480011""","Students with Disabilities",46,12.9
"Enfield School District","=""0490011""","Students with Disabilities",113,12.9
"Essex School District","=""0500011""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Students with Disabilities",60,4.6
"Farmington School District","=""0520011""","Students with Disabilities",25,4.4
"Franklin School District","=""0530011""","Students with Disabilities",6,25.0
"Glastonbury School District","=""0540011""","Students with Disabilities",28,3.8
"Granby School District","=""0560011""","Students with Disabilities",26,10.1
"Greenwich School District","=""0570011""","Students with Disabilities",48,4.5
"Griswold School District","=""0580011""","Students with Disabilities",38,12.3
"Groton School District","=""0590011""","Students with Disabilities",127,15.1
