"District","District Code","Special Education Status","Count","%"
"New Fairfield School District","=""0910011""","Students with Disabilities",20,6.8
"New Hartford School District","=""0920011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Students with Disabilities",375,11.2
"New London School District","=""0950011""","Students with Disabilities",137,20.1
"New Milford School District","=""0960011""","Students with Disabilities",72,10.9
"Newington School District","=""0940011""","Students with Disabilities",47,7.6
"Newtown School District","=""0970011""","Students with Disabilities",39,6.6
"Norfolk School District","=""0980011""","Students with Disabilities","*","*"
"North Branford School District","=""0990011""","Students with Disabilities",27,9.5
"North Canaan School District","=""1000011""","Students with Disabilities","N/A","N/A"
"North Haven School District","=""1010011""","Students with Disabilities",30,7.7
"North Stonington School District","=""1020011""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Students with Disabilities",193,10.6
"Norwich Free Academy District","=""9010022""","Students with Disabilities",82,28.1
"Norwich School District","=""1040011""","Students with Disabilities",67,8.0
"Odyssey Community School District","=""2630013""","Students with Disabilities","*","*"
"Old Saybrook School District","=""1060011""","Students with Disabilities",8,4.0
"Orange School District","=""1070011""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Students with Disabilities",13,4.7
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",7,17.9
"Path Academy District","=""2930013""","Students with Disabilities","*","*"
"Plainfield School District","=""1090011""","Students with Disabilities",54,14.0
"Plainville School District","=""1100011""","Students with Disabilities",32,9.1
"Plymouth School District","=""1110011""","Students with Disabilities",25,9.4
"Pomfret School District","=""1120011""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Students with Disabilities",14,8.5
"Preston School District","=""1140011""","Students with Disabilities",6,7.1
"Putnam School District","=""1160011""","Students with Disabilities",25,10.4
"Redding School District","=""1170011""","Students with Disabilities","*","*"
"Regional School District 01","=""2010012""","Students with Disabilities",8,10.0
"Regional School District 04","=""2040012""","Students with Disabilities",15,10.3
"Regional School District 05","=""2050012""","Students with Disabilities",21,7.4
"Regional School District 06","=""2060012""","Students with Disabilities",14,7.7
"Regional School District 07","=""2070012""","Students with Disabilities",13,8.7
"Regional School District 08","=""2080012""","Students with Disabilities",40,18.6
"Regional School District 09","=""2090012""","Students with Disabilities","*","*"
"Regional School District 10","=""2100012""","Students with Disabilities",17,5.7
"Regional School District 11","=""2110012""","Students with Disabilities",11,21.6
"Regional School District 12","=""2120012""","Students with Disabilities",16,14.2
"Regional School District 13","=""2130012""","Students with Disabilities",19,6.3
"Regional School District 14","=""2140012""","Students with Disabilities",13,4.8
"Regional School District 15","=""2150012""","Students with Disabilities",43,6.5
"Regional School District 16","=""2160012""","Students with Disabilities",30,8.8
"Regional School District 17","=""2170012""","Students with Disabilities",34,8.4
"Regional School District 18","=""2180012""","Students with Disabilities",12,6.3
"Regional School District 19","=""2190012""","Students with Disabilities",16,8.5
"Ridgefield School District","=""1180011""","Students with Disabilities",29,4.8
"Rocky Hill School District","=""1190011""","Students with Disabilities",12,3.8
"Salem School District","=""1210011""","Students with Disabilities",6,7.3
"Salisbury School District","=""1220011""","Students with Disabilities","*","*"
"Scotland School District","=""1230011""","Students with Disabilities","*","*"
"Seymour School District","=""1240011""","Students with Disabilities",32,9.6
"Sharon School District","=""1250011""","Students with Disabilities","*","*"
"Shelton School District","=""1260011""","Students with Disabilities",70,9.4
"Sherman School District","=""1270011""","Students with Disabilities",8,18.2
"Side By Side Charter School District","=""2700013""","Students with Disabilities","N/A","N/A"
"Simsbury School District","=""1280011""","Students with Disabilities",31,4.9
"Somers School District","=""1290011""","Students with Disabilities",20,9.4
"South Windsor School District","=""1320011""","Students with Disabilities",62,9.6
"Southington School District","=""1310011""","Students with Disabilities",22,2.2
"Sprague School District","=""1330011""","Students with Disabilities","*","*"
"Stafford School District","=""1340011""","Students with Disabilities",26,10.9
"Stamford Academy District","=""2820013""","Students with Disabilities",8,18.2
"Stamford Charter School for Excellence District","=""2960013""","Students with Disabilities","N/A","*"
"Stamford School District","=""1350011""","Students with Disabilities",170,7.5
